Numero,DataOcorrencia,DataFechoOperacional,Natureza,EstadoOcorrencia,Distrito,Concelho,Freguesia,Localidade,Latitude,Longitude,NumeroMeiosTerrestresEnvolvidos,NumeroOperacionaisTerrestresEnvolvidos,NumeroMeiosAereosEnvolvidos,NumeroOperacionaisAereosEnvolvidos
2017130000088,01/01/2017 04:03:00,,Protecção e Assistência a Pessoas e Bens / Assistência em Saúde / Intoxicação,Despacho de 1º Alerta,PORTO,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau e Vitória",CLÉRIGOS,"41,14592738","-8,619134071",1,2,0,0
2017130000087,01/01/2017 04:02:00,01/01/2017 04:57:00,Protecção e Assistência a Pessoas e Bens / Assistência em Saúde / Intoxicação,Encerrada,PORTO,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau e Vitória","CEDOFEITA, SANTO ILDEFONSO, SÉ, MIRAGAIA","41,15359026","-8,61593911",1,2,0,0
2017130000082,01/01/2017 03:39:00,01/01/2017 04:38:00,Protecção e Assistência a Pessoas e Bens / Intervenção em conflitos legais / Agressão/Violação,Encerrada,PORTO,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau e Vitória",Vitória,"41,15359","-8,615939",1,2,0,0
2017130000083,01/01/2017 03:26:00,01/01/2017 03:46:00,Protecção e Assistência a Pessoas e Bens / Assistência em Saúde / Intoxicação,Encerrada,PORTO,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau e Vitória","CEDOFEITA, SANTO ILDEFONSO, SÉ, MIRAGAIA","41,15359026","-8,61593911",1,2,0,0
2017130000077,01/01/2017 03:18:00,01/01/2017 04:03:00,Protecção e Assistência a Pessoas e Bens / Assistência em Saúde / Intoxicação,Encerrada,PORTO,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau e Vitória",CLÉRIGOS,"41,14592738","-8,619134071",1,2,0,0
2017130000061,01/01/2017 02:31:00,,Protecção e Assistência a Pessoas e Bens / Assistência em Saúde / Intoxicação,Despacho de 1º Alerta,PORTO,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau e Vitória","CEDOFEITA, SANTO ILDEFONSO, SÉ, MIRAGAIA","41,15359026","-8,61593911",1,2,0,0
2017130000036,01/01/2017 01:46:00,,Protecção e Assistência a Pessoas e Bens / Assistência em Saúde / Intoxicação,Despacho de 1º Alerta,PORTO,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau e Vitória","CEDOFEITA, SANTO ILDEFONSO, SÉ, MIRAGAIA","41,15359026","-8,61593911",1,2,0,0
2017130000035,01/01/2017 01:39:00,01/01/2017 02:30:00,Protecção e Assistência a Pessoas e Bens / Assistência em Saúde / Intoxicação,Encerrada,PORTO,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau e Vitória","CEDOFEITA, SANTO ILDEFONSO, SÉ, MIRAGAIA","41,15359026","-8,61593911",1,2,0,0
2017100000411,02/01/2017 20:27:00,,Riscos Tecnológicos / Acidentes / Despiste,Despacho de 1º Alerta,LEIRIA,PORTO DE MÓS,Porto de Mós - São João Baptista e São Pedro,Tourões,"39,60126","-8,838659",2,4,0,0
2017100000313,02/01/2017 12:44:00,,Riscos Tecnológicos / Incêndios Urbanos ou em Área Urbanizável / Habitacional,Vigilância,LEIRIA,PORTO DE MÓS,Arrimal e Mendiga,ARRIMAL,"39,482988","-8,883952",3,9,0,0
2017130000562,02/01/2017 02:55:00,02/01/2017 05:00:00,Protecção e Assistência a Pessoas e Bens / Intervenção em conflitos legais / Remoção e/ou Transporte de cadáver,Encerrada,PORTO,PORTO,Campanhã,CAMPANHA,"41,154223","-8,571543",1,2,0,0
2017130000563,02/01/2017 02:36:00,,Protecção e Assistência a Pessoas e Bens / Assistência em Saúde / Trauma,Despacho de 1º Alerta,PORTO,PORTO,Ramalde,AV SIDONIO PAIS Nº 392 1º ESQ,"41,17138973","-8,642921512",1,3,0,0
2017130001704,03/01/2017 22:11:00,03/01/2017 22:44:00,Riscos Tecnológicos / Acidentes / Colisão rodoviária,Encerrada,PORTO,PORTO,Ramalde,RAMALDE,"41,168297","-8,651472",1,2,0,0
2017130001685,03/01/2017 21:25:00,,Protecção e Assistência a Pessoas e Bens / Assistência em Saúde / Trauma,Despacho de 1º Alerta,PORTO,PORTO,Ramalde,RAMALDE,"41,16829671","-8,651472333",1,2,0,0
2017130001559,03/01/2017 17:37:00,,Protecção e Assistência a Pessoas e Bens / Assistência em Saúde / Trauma,Chegada ao TO,PORTO,PORTO,Lordelo do Ouro e Massarelos,LORDELO DO OURO,"41,15298465","-8,65254272",0,0,0,0
2017100000601,03/01/2017 17:34:00,,Protecção e Assistência a Pessoas e Bens / Assistência em Saúde / Trauma,Despacho de 1º Alerta,LEIRIA,PORTO DE MÓS,Arrimal e Mendiga,ARRIMAL,"39,48298806","-8,883952129",1,2,0,0
2017130002353,04/01/2017 22:07:00,04/01/2017 23:35:00,Protecção e Assistência a Pessoas e Bens / Assistência em Saúde / Trauma,Encerrada,PORTO,PORTO,Ramalde,RAMALDE,"41,16829671","-8,651472333",1,3,0,0
2017130002350,04/01/2017 22:07:00,,Riscos Tecnológicos / Acidentes / Colisão rodoviária,Em Resolução,PORTO,PORTO,Campanhã,CAMPANHA,"41,154223","-8,571543",2,4,0,0
2017130002187,04/01/2017 17:05:00,04/01/2017 18:33:00,Protecção e Assistência a Pessoas e Bens / Assistência em Saúde / Trauma,Encerrada,PORTO,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau e Vitória",Cedofeita,"41,15359","-8,615939",1,2,0,0
2017130002150,04/01/2017 16:09:00,04/01/2017 17:20:00,Protecção e Assistência a Pessoas e Bens / Intervenção em conflitos legais / Agressão/Violação,Encerrada,PORTO,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau e Vitória",sé,"41,15359","-8,615939",1,2,0,0
2017130002138,04/01/2017 15:04:00,04/01/2017 16:14:00,Protecção e Assistência a Pessoas e Bens / Assistência em Saúde / Trauma,Encerrada,PORTO,PORTO,"Aldoar, Foz do Douro e Nevogilde",ALDOAR,"41,16818112","-8,676494475",1,2,0,0
2017130001974,04/01/2017 11:17:00,04/01/2017 12:43:00,Protecção e Assistência a Pessoas e Bens / Assistência em Saúde / Trauma,Encerrada,PORTO,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau e Vitória",CÂMARA MUNICIPAL DO PORTO,"41,14956395","-8,610822318",1,2,0,0
2017100000748,04/01/2017 11:14:00,04/01/2017 12:30:00,Protecção e Assistência a Pessoas e Bens / Assistência em Saúde / Trauma,Encerrada,LEIRIA,PORTO DE MÓS,Porto de Mós - São João Baptista e São Pedro,PORTO DE MÓS,"39,59959807","-8,815357755",1,2,0,0
2017100000730,04/01/2017 10:06:00,04/01/2017 12:30:00,Protecção e Assistência a Pessoas e Bens / Assistência e Prevenção a actividades humanas / Limpeza de Via e Sinalização de Perigo,Encerrada,LEIRIA,PORTO DE MÓS,Mira de Aire,MIRA DE AIRE,"39,54162598","-8,7100944",2,4,0,0
2017130001815,04/01/2017 06:48:00,,Riscos Tecnológicos / Acidentes / Despiste,Despacho de 1º Alerta,PORTO,PORTO,Ramalde,RAMALDE,"41,168297","-8,651472",4,14,0,0
2017130001796,04/01/2017 05:00:00,,Protecção e Assistência a Pessoas e Bens / Intervenção em conflitos legais / Agressão/Violação,Chegada ao TO,PORTO,PORTO,Ramalde,RAMALDE,"41,168297","-8,651472",0,0,0,0
2017130001761,04/01/2017 01:29:00,04/01/2017 02:45:00,Protecção e Assistência a Pessoas e Bens / Intervenção em conflitos legais / Remoção e/ou Transporte de cadáver,Encerrada,PORTO,PORTO,Paranhos,PARANHOS,"41,17569","-8,607437",1,2,0,0
2017130002921,05/01/2017 21:18:00,05/01/2017 22:52:00,Protecção e Assistência a Pessoas e Bens / Assistência em Saúde / Trauma,Encerrada,PORTO,PORTO,Bonfim,BONFIM,"41,15054201","-8,591769318",1,3,0,0
2017130002920,05/01/2017 21:07:00,,Protecção e Assistência a Pessoas e Bens / Assistência em Saúde / Intoxicação,Despacho de 1º Alerta,PORTO,PORTO,Ramalde,RAMALDE,"41,16829671","-8,651472333",1,2,0,0
2017130002898,05/01/2017 20:35:00,05/01/2017 21:20:00,Riscos Tecnológicos / Acidentes / Atropelamento rodoviário,Encerrada,PORTO,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau e Vitória",Miragaia,"41,15359","-8,615939",1,2,0,0
2017130002893,05/01/2017 20:30:00,05/01/2017 20:41:00,Protecção e Assistência a Pessoas e Bens / Assistência em Saúde / Intoxicação,Encerrada,PORTO,PORTO,Lordelo do Ouro e Massarelos,LORDELO DO OURO,"41,152985","-8,652543",1,2,0,0
2017130002875,05/01/2017 19:55:00,,Protecção e Assistência a Pessoas e Bens / Assistência e Prevenção a actividades humanas / Prevenção a actividades de lazer,Chegada ao TO,PORTO,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau e Vitória",RUA FORMOSA,"41,15359026","-8,61593911",1,3,0,0
2017130002811,05/01/2017 17:47:00,05/01/2017 19:10:00,Protecção e Assistência a Pessoas e Bens / Assistência em Saúde / Trauma,Encerrada,PORTO,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau e Vitória",Cedofeita,"41,15359","-8,615939",1,2,0,0
2017130002780,05/01/2017 16:43:00,05/01/2017 17:40:00,Protecção e Assistência a Pessoas e Bens / Assistência em Saúde / Intoxicação,Encerrada,PORTO,PORTO,"Aldoar, Foz do Douro e Nevogilde",ALDOAR,"41,16818112","-8,676494475",1,2,0,0
2017130003479,06/01/2017 19:40:00,,Protecção e Assistência a Pessoas e Bens / Assistência e Prevenção a actividades humanas / Prevenção a actividades de lazer,Despacho,PORTO,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau e Vitória",RUA FORMOSA,"41,15359026","-8,61593911",0,0,0,0
2017100001141,06/01/2017 11:29:00,06/01/2017 12:25:00,Protecção e Assistência a Pessoas e Bens / Assistência em Saúde / Trauma,Encerrada,LEIRIA,PORTO DE MÓS,Juncal,JUNCAL,"39,60951749","-8,900275626",1,2,0,0
2017130004048,07/01/2017 21:06:00,07/01/2017 22:10:00,Protecção e Assistência a Pessoas e Bens / Assistência em Saúde / Trauma,Encerrada,PORTO,PORTO,Lordelo do Ouro e Massarelos,LORDELO DO OURO,"41,152985","-8,652543",1,2,0,0
2017130004041,07/01/2017 20:53:00,08/01/2017 01:30:00,Protecção e Assistência a Pessoas e Bens / Assistência e Prevenção a actividades humanas / Prevenção a actividades de lazer,Encerrada,PORTO,PORTO,Campanhã,CAMPANHA,"41,154223","-8,571543",1,3,0,0
2017130003992,07/01/2017 19:00:00,07/01/2017 19:40:00,Riscos Tecnológicos / Incêndios Urbanos ou em Área Urbanizável / Habitacional,Encerrada,PORTO,PORTO,Bonfim,BONFIM,"41,151713","-8,596119",3,12,0,0
2017100001428,07/01/2017 16:44:00,,Protecção e Assistência a Pessoas e Bens / Assistência em Saúde / Trauma,Despacho de 1º Alerta,LEIRIA,PORTO DE MÓS,Pedreiras,PEDREIRAS,"39,59120941","-8,861839082",1,3,0,0
2017100001420,07/01/2017 16:18:00,07/01/2017 18:00:00,Riscos Tecnológicos / Acidentes / Colisão rodoviária,Encerrada,LEIRIA,PORTO DE MÓS,Pedreiras,PEDREIRAS,"39,591209","-8,861839",2,4,0,0
2017100001414,07/01/2017 16:04:00,,Protecção e Assistência a Pessoas e Bens / Assistência em Saúde / Trauma,Chegada ao TO,LEIRIA,PORTO DE MÓS,Juncal,JUNCAL,"39,60951749","-8,900275626",0,0,0,0
2017130003832,07/01/2017 13:19:00,07/01/2017 17:10:00,Protecção e Assistência a Pessoas e Bens / Assistência e Prevenção a actividades humanas / Prevenção a actividades de lazer,Encerrada,PORTO,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau e Vitória",Santo Ildefonso,"41,15359","-8,615939",1,2,0,0
2017130003831,07/01/2017 13:15:00,07/01/2017 18:30:00,Protecção e Assistência a Pessoas e Bens / Assistência e Prevenção a actividades humanas / Prevenção a actividades de lazer,Encerrada,PORTO,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau e Vitória","CEDOFEITA, SANTO ILDEFONSO, SÉ, MIRAGAIA","41,15359026","-8,61593911",1,2,0,0
2017130003789,07/01/2017 11:54:00,,Riscos Tecnológicos / Acidentes / Atropelamento rodoviário,Em Resolução,PORTO,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau e Vitória",Santo Ildefonso,"41,15359","-8,615939",1,3,0,0
2017130003649,07/01/2017 05:26:00,07/01/2017 06:40:00,Protecção e Assistência a Pessoas e Bens / Intervenção em conflitos legais / Agressão/Violação,Encerrada,PORTO,PORTO,Paranhos,Paranhos,"41,174248","-8,604254",1,2,0,0
2017130003632,07/01/2017 03:04:00,07/01/2017 04:06:00,Protecção e Assistência a Pessoas e Bens / Assistência em Saúde / Intoxicação,Encerrada,PORTO,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau e Vitória","Cedofeita, Ildefonso, Sé, Miragaia, Nicolau e Vitória","41,15359","-8,615939",1,2,0,0
2017130003626,07/01/2017 02:44:00,07/01/2017 03:04:00,Protecção e Assistência a Pessoas e Bens / Assistência em Saúde / Intoxicação,Encerrada,PORTO,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau e Vitória","Cedofeita, Ildefonso, Sé, Miragaia, Nicolau e Vitória","41,15359","-8,615939",1,2,0,0
2017130003618,07/01/2017 02:05:00,07/01/2017 02:44:00,Protecção e Assistência a Pessoas e Bens / Assistência em Saúde / Intoxicação,Encerrada,PORTO,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau e Vitória",vitoria,"41,15359","-8,615939",1,2,0,0
2017100001660,08/01/2017 20:51:00,,Protecção e Assistência a Pessoas e Bens / Assistência em Saúde / Trauma,Despacho de 1º Alerta,LEIRIA,PORTO DE MÓS,Mira de Aire,COVAo da carvalha,"39,54587899","-8,717538754",1,2,0,0
2017130004531,08/01/2017 18:02:00,08/01/2017 20:35:00,Protecção e Assistência a Pessoas e Bens / Intervenção em conflitos legais / Remoção e/ou Transporte de cadáver,Encerrada,PORTO,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau e Vitória",Santo Ildefonso,"41,15359","-8,615939",1,2,0,0
2017130004493,08/01/2017 16:25:00,08/01/2017 20:40:00,Protecção e Assistência a Pessoas e Bens / Assistência e Prevenção a actividades humanas / Prevenção a actividades de lazer,Encerrada,PORTO,PORTO,Ramalde,Ramalde,"41,17139","-8,642922",5,22,0,0
2017130004488,08/01/2017 16:22:00,08/01/2017 18:20:00,Riscos Tecnológicos / Acidentes / Atropelamento ferroviário,Encerrada,PORTO,PORTO,Ramalde,RAMALDE,"41,168297","-8,651472",2,4,0,0
2017130004445,08/01/2017 15:42:00,,Protecção e Assistência a Pessoas e Bens / Assistência em Saúde / Trauma,Despacho de 1º Alerta,PORTO,PORTO,Ramalde,RAMALDE,"41,16829671","-8,651472333",1,2,0,0
2017130004378,08/01/2017 13:55:00,08/01/2017 17:44:00,Protecção e Assistência a Pessoas e Bens / Assistência e Prevenção a actividades humanas / Prevenção a actividades de lazer,Encerrada,PORTO,PORTO,Campanhã,CAMPANHÃ,"41,15863665","-8,575994389",1,2,0,0
2017130004342,08/01/2017 12:36:00,08/01/2017 13:37:00,Protecção e Assistência a Pessoas e Bens / Assistência em Saúde / Trauma,Encerrada,PORTO,PORTO,Campanhã,CAMPANHÃ,"41,15863665","-8,575994389",1,2,0,0
2017100001578,08/01/2017 12:18:00,08/01/2017 13:15:00,Protecção e Assistência a Pessoas e Bens / Assistência em Saúde / Trauma,Encerrada,LEIRIA,PORTO DE MÓS,Porto de Mós - São João Baptista e São Pedro,PORTO DE MÓS,"39,599598","-8,815358",1,3,0,0
2017130004206,08/01/2017 07:50:00,08/01/2017 12:55:00,Protecção e Assistência a Pessoas e Bens / Assistência e Prevenção a actividades humanas / Prevenção a actividades de lazer,Encerrada,PORTO,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau e Vitória",Vitalis Parck,"41,15359026","-8,61593911",1,2,0,0
2017130004184,08/01/2017 06:07:00,,Protecção e Assistência a Pessoas e Bens / Assistência em Saúde / Intoxicação,Despacho de 1º Alerta,PORTO,PORTO,Lordelo do Ouro e Massarelos,LORDELO DO OURO,"41,152985","-8,652543",1,3,0,0
2017130005239,09/01/2017 20:17:00,09/01/2017 21:10:00,Protecção e Assistência a Pessoas e Bens / Assistência em Saúde / Intoxicação,Encerrada,PORTO,PORTO,Ramalde,RAMALDE,"41,17138973","-8,642921512",1,2,0,0
2017130005214,09/01/2017 19:08:00,,Protecção e Assistência a Pessoas e Bens / Assistência em Saúde / Trauma,Despacho de 1º Alerta,PORTO,PORTO,Ramalde,RAMALDE,"41,16829671","-8,651472333",1,2,0,0
2017130005163,09/01/2017 17:47:00,09/01/2017 18:36:00,Protecção e Assistência a Pessoas e Bens / Assistência em Saúde / Trauma,Encerrada,PORTO,PORTO,"Aldoar, Foz do Douro e Nevogilde",ALDOAR,"41,16818112","-8,676494475",1,2,0,0
2017130005186,09/01/2017 17:44:00,09/01/2017 18:50:00,Protecção e Assistência a Pessoas e Bens / Assistência em Saúde / Trauma,Encerrada,PORTO,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau e Vitória","Cedofeita, Ildefonso, Sé, Miragaia, Nicolau e Vitória","41,15359","-8,615939",1,3,0,0
2017130005132,09/01/2017 16:44:00,09/01/2017 17:35:00,Protecção e Assistência a Pessoas e Bens / Assistência em Saúde / Trauma,Encerrada,PORTO,PORTO,Lordelo do Ouro e Massarelos,LORDELO DO OURO,"41,15298465","-8,65254272",1,2,0,0
2017130004975,09/01/2017 13:08:00,,Protecção e Assistência a Pessoas e Bens / Assistência em Saúde / Trauma,Despacho de 1º Alerta,PORTO,PORTO,Ramalde,RAMALDE,"41,16829671","-8,651472333",1,2,0,0
2017100001741,09/01/2017 11:02:00,09/01/2017 12:20:00,Protecção e Assistência a Pessoas e Bens / Assistência em Saúde / Trauma,Encerrada,LEIRIA,PORTO DE MÓS,Juncal,JUNCAL,"39,60951749","-8,900275626",1,2,0,0
2017130005919,10/01/2017 23:13:00,10/01/2017 23:30:00,Riscos Tecnológicos / Incêndios Urbanos ou em Área Urbanizável / Edifícios degradados ou devolutos,Encerrada,PORTO,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau e Vitória",Cedofeita,"41,15359","-8,615939",1,5,0,0
2017130005871,10/01/2017 21:04:00,10/01/2017 22:10:00,Protecção e Assistência a Pessoas e Bens / Assistência em Saúde / Trauma,Encerrada,PORTO,PORTO,Paranhos,PARANHOS,"41,17569031","-8,607437419",1,2,0,0
2017130005799,10/01/2017 18:30:00,,Riscos Tecnológicos / Acidentes / Atropelamento ferroviário,Em Curso,PORTO,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau e Vitória",Santo Ildefonso,"41,15359","-8,615939",5,16,0,0
2017130005796,10/01/2017 18:26:00,10/01/2017 19:19:00,Riscos Tecnológicos / Acidentes / Colisão rodoviária,Encerrada,PORTO,PORTO,Paranhos,Paranhos ,"41,174248","-8,604254",3,6,0,0
2017130005775,10/01/2017 17:54:00,10/01/2017 18:51:00,Protecção e Assistência a Pessoas e Bens / Assistência em Saúde / Intoxicação,Encerrada,PORTO,PORTO,Lordelo do Ouro e Massarelos,Massarelos,"41,152973","-8,644953",1,2,0,0
2017130005759,10/01/2017 17:28:00,10/01/2017 18:56:00,Protecção e Assistência a Pessoas e Bens / Assistência em Saúde / Trauma,Encerrada,PORTO,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau e Vitória",Sé,"41,15359","-8,615939",1,2,0,0
2017130005731,10/01/2017 16:24:00,10/01/2017 17:25:00,Protecção e Assistência a Pessoas e Bens / Assistência em Saúde / Trauma,Encerrada,PORTO,PORTO,Ramalde,RAMALDE,"41,16829671","-8,651472333",1,2,0,0
2017130005634,10/01/2017 14:07:00,10/01/2017 16:03:00,Protecção e Assistência a Pessoas e Bens / Assistência e Prevenção a actividades humanas / Abastecimento de Água a entidades privadas,Encerrada,PORTO,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau e Vitória","Cedofeita, Santo Ildefonso, Sé, Miragaia","41,1527221","-8,6157378",1,2,0,0
2017100001895,10/01/2017 05:46:00,10/01/2017 06:40:00,Protecção e Assistência a Pessoas e Bens / Assistência em Saúde / Trauma,Encerrada,LEIRIA,PORTO DE MÓS,Mira de Aire,SAO BENTO,"39,54587899","-8,717538754",1,2,0,0
2017100002266,11/01/2017 20:27:00,11/01/2017 22:12:00,Protecção e Assistência a Pessoas e Bens / Assistência em Saúde / Trauma,Encerrada,LEIRIA,PORTO DE MÓS,Porto de Mós - São João Baptista e São Pedro,PORTO DE MÓS,"39,599598","-8,815358",1,2,0,0
2017130006475,11/01/2017 20:09:00,11/01/2017 21:15:00,Protecção e Assistência a Pessoas e Bens / Assistência em Saúde / Trauma,Encerrada,PORTO,PORTO,Ramalde,RAMALDE,"41,16829671","-8,651472333",1,2,0,0
2017130006476,11/01/2017 20:00:00,11/01/2017 21:05:00,Protecção e Assistência a Pessoas e Bens / Assistência em Saúde / Trauma,Encerrada,PORTO,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau e Vitória",CEDOFEITA,"41,15359","-8,615939",1,3,0,0
2017130006471,11/01/2017 19:34:00,11/01/2017 20:10:00,Protecção e Assistência a Pessoas e Bens / Assistência em Saúde / Trauma,Encerrada,PORTO,PORTO,Campanhã,Levada,"41,1470149","-8,572685567",1,2,0,0
2017130006453,11/01/2017 19:30:00,11/01/2017 20:30:00,Riscos Tecnológicos / Incêndios Urbanos ou em Área Urbanizável / Edifícios degradados ou devolutos,Encerrada,PORTO,PORTO,Bonfim,BONFIM,"41,150542","-8,591769",3,13,0,0
2017130006442,11/01/2017 19:08:00,11/01/2017 20:34:00,Protecção e Assistência a Pessoas e Bens / Assistência em Saúde / Trauma,Encerrada,PORTO,PORTO,"Aldoar, Foz do Douro e Nevogilde",ALDOAR,"41,16818112","-8,676494475",1,2,0,0
2017100002252,11/01/2017 19:06:00,11/01/2017 20:48:00,Protecção e Assistência a Pessoas e Bens / Assistência em Saúde / Trauma,Encerrada,LEIRIA,PORTO DE MÓS,Porto de Mós - São João Baptista e São Pedro,Ribeira de Baixo,"39,631972","-8,82383",1,2,0,0
2017130006399,11/01/2017 17:54:00,11/01/2017 19:40:00,Protecção e Assistência a Pessoas e Bens / Assistência em Saúde / Trauma,Encerrada,PORTO,PORTO,Ramalde,RAMALDE,"41,16829671","-8,651472333",1,2,0,0
2017130006140,11/01/2017 11:04:00,11/01/2017 12:55:00,Protecção e Assistência a Pessoas e Bens / Assistência e Prevenção a actividades humanas / Abastecimento de Água a entidades privadas,Encerrada,PORTO,PORTO,"Aldoar, Foz do Douro e Nevogilde","Aldoar, Foz do Douro e Nevogilde","41,16199862","-8,672425952",1,2,0,0
2017100002136,11/01/2017 10:25:00,11/01/2017 17:35:00,Riscos Mistos / Incêndios Rurais / Gestão de Combustível,Encerrada,LEIRIA,PORTO DE MÓS,Arrimal e Mendiga,Marinha de Cima,"39,516488","-8,856405",1,5,0,0
2017130007148,12/01/2017 22:42:00,,Riscos Tecnológicos / Acidentes / Colisão rodoviária,Despacho de 1º Alerta,PORTO,PORTO,Lordelo do Ouro e Massarelos,LORDELO DO OURO,"41,152985","-8,652543",1,2,0,0
2017130006854,12/01/2017 13:58:00,12/01/2017 14:42:31,Riscos Tecnológicos / Incêndios em Transportes / Rodoviário,Falso Alarme,PORTO,PORTO,Campanhã,CAMPANHA,"41,154223","-8,571543",1,5,0,0
2017130006829,12/01/2017 13:15:00,12/01/2017 14:50:00,Protecção e Assistência a Pessoas e Bens / Assistência e Prevenção a actividades humanas / Abastecimento de Água a entidades privadas,Encerrada,PORTO,PORTO,"Aldoar, Foz do Douro e Nevogilde","Aldoar, Foz do Douro e Nevogilde","41,16199862","-8,672425952",1,2,0,0
